Square Feet,Number of Bedrooms,Number of Bathrooms,Year Built,Neighborhood,Garage Spaces,Lot Size,City,Price
1418,4,3.8430585311928387,1956,Suburban,0,0.43545403435068486,New York,144800499.5615929
1288,4,1.6563151252326391,1988,Suburban,1,0.9387865160852272,Houston,134013156.2148186
1378,3,1.9786615209427945,2017,Suburban,1,0.8891857391444403,New York,142594328.3097929
2796,1,3.2685767023203414,1984,Urban,1,0.45484393130585254,Houston,282384362.9092033
2513,4,2.18126542469622,2000,Suburban,1,0.7290579380677629,New York,255443884.59719104
1230,3,2.82463413029934,1996,Suburban,1,0.17907131222321102,Los Angeles,124412204.1208885
2017,1,2.3337205032082853,1985,Urban,2,0.7412869499892536,Kansas City,205861463.78768688
1040,2,3.2271098112693455,2013,Urban,0,0.9755719565362673,Houston,109269893.01852654
2051,1,1.6849937571058327,1962,Urban,2,0.5837393375507725,Kansas City,208540071.21953678
1134,1,1.1753739617106311,1967,Rural,0,0.5486412043309729,Kansas City,116561359.06878315
1200,4,1.8997881924191988,1970,Rural,0,0.2685867577317193,New York,121950417.90309003
2863,3,2.422925994605291,2014,Suburban,0,0.6704093790165627,Los Angeles,290028766.3446782
1779,3,1.5040601565780358,1957,Suburban,2,0.6313935527010234,New York,181689772.2752485
1929,4,2.064391868969166,1997,Suburban,1,0.6867397535281755,Kansas City,196838528.15781358
2056,1,2.1999490548807055,1992,Suburban,1,0.12347495801624964,New York,206607370.9691973
2071,2,1.1721755310648208,2002,Urban,2,0.5938511395141662,Houston,210402168.86240068
1502,1,2.749921744552614,1976,Rural,1,0.6354413591476357,Los Angeles,153888450.92657962
1406,1,3.6530302839138624,1968,Urban,0,0.286777121871522,Kansas City,142632862.88065115
2597,2,1.4552287388591574,1972,Rural,1,0.28749957173968244,New York,261621640.01411283
2751,4,2.793424040204542,1999,Urban,1,0.34859635165985486,Houston,277392488.56131464
1804,3,2.9942176147325386,2000,Suburban,1,0.7405494325545138,Los Angeles,184612313.4838775
1098,4,2.2580040412578652,1992,Rural,0,0.6456394571791345,New York,113552547.58899002
1683,4,3.10329276209281,2000,Suburban,1,0.8611863815060241,New York,173173678.8646871
2895,1,2.2321946304730362,2018,Rural,1,0.36609271465878834,Kansas City,291592878.1705794
1725,3,2.5139118639323046,1990,Rural,1,0.9208612538994865,Houston,177627849.65929234
2570,3,1.022059133663281,2021,Suburban,2,0.7693355457850225,Los Angeles,261123332.16394985
1960,4,3.0751603424040663,1960,Suburban,2,0.4555105030123273,New York,199063189.54074195
2762,2,2.9840280368341734,2001,Suburban,1,0.18573585906291035,Los Angeles,277582481.39807713
1612,4,1.1152026319790336,1972,Urban,2,0.33128529623873426,Houston,163435066.6785921
2966,2,2.1047503221853994,1998,Rural,2,0.9610913954933652,Kansas City,301828313.2516307
2485,3,3.937095522375002,1987,Rural,0,0.3793270382956715,Kansas City,251021917.3556565
1642,4,2.2622096877058504,1996,Rural,2,0.396910864134158,Kansas City,166729220.04724872
2792,1,2.505836215395525,2021,Suburban,2,0.2706300379879453,Los Angeles,280841087.9060944
2028,4,3.729790474479156,1956,Rural,1,0.8261655410248888,Los Angeles,207765561.99071038
2241,3,3.151785627597269,2015,Rural,0,0.34807980721804965,New York,226266782.95816004
1502,1,2.746210393372671,2011,Suburban,0,0.3972324235319701,Houston,152502127.8971628
1766,1,3.3934140440232174,1978,Suburban,0,0.472913297588464,Houston,179494072.54124406
1397,2,3.5930987993679198,1987,Rural,2,0.4903554517971488,Houston,142741259.66893834
1870,1,2.3706642152118005,1982,Urban,1,0.47020671137351955,Los Angeles,189803833.3730085
1794,1,2.425325094795506,1978,Suburban,0,0.5533693258372557,Kansas City,182623746.01129594
1392,4,2.158152806955507,1972,Urban,0,0.8330615916547629,Houston,143982169.4187955
1206,3,3.9001184200553816,1952,Urban,2,0.8373565366678198,New York,125624291.56484325
2038,2,3.0914987628710513,1994,Urban,0,0.8184818203870122,Los Angeles,208369271.5091504
2881,4,1.249669198624217,1957,Urban,1,0.19101235520483878,Kansas City,289698786.96592104
2577,1,3.5888788699390552,1978,Suburban,0,0.8197109229473327,Houston,262342720.52998212
1891,1,2.4416798225088043,1951,Rural,1,0.2082265961379191,Kansas City,190754258.96737775
2484,2,1.2062617192674625,1999,Rural,1,0.2122513930470322,New York,249791726.59418023
2714,3,2.649151765489933,2014,Suburban,1,0.9530764944714647,Houston,276579068.85476905
2598,2,2.251492836927106,1969,Suburban,2,0.8374580602349871,Houston,264566152.26394448
1863,4,3.6332482145878746,2001,Urban,2,0.5971694201812078,Kansas City,189908340.71700013
1742,2,1.6119838108281621,1986,Urban,1,0.8874731840300759,Los Angeles,179063264.70596248
2264,1,3.4793938284765487,2021,Suburban,1,0.9904281782966765,Kansas City,231693095.42861915
1563,4,2.6730660735563583,1976,Rural,0,0.6495778599685998,New York,160183369.25535974
2020,1,1.1638309096404071,1996,Urban,0,0.6516085932833662,Kansas City,205530330.28463987
1095,3,3.915535903976454,1955,Suburban,0,0.7789843262439352,Kansas City,114178586.8240179
2923,1,2.5378457323095995,2009,Suburban,2,0.3089250571287995,Houston,294194963.71556723
2757,1,1.8726305626947475,1994,Suburban,0,0.2504123753669194,Los Angeles,277287509.1690367
1484,2,2.4082205259677743,1993,Urban,1,0.7836226750135653,Los Angeles,152768729.9145154
2430,1,3.5735733505524667,1967,Suburban,1,0.4104143154946921,Los Angeles,245670089.5787649
1230,4,1.9147093731551905,2014,Rural,2,0.22156332067534062,Los Angeles,124536419.80636334
1748,4,1.5780291894601008,1974,Suburban,2,0.3833899533259748,Kansas City,177320301.9558394
2678,3,1.3872137407926444,1976,Urban,0,0.4227731810871178,Houston,270402906.93599504
2194,4,1.8935781951706336,1956,Rural,2,0.9687048935551216,Houston,224960542.8324134
1540,2,3.3401442611201304,1993,Rural,1,0.7281637399791309,Los Angeles,158161329.51947966
2059,3,2.414879095585785,1978,Suburban,1,0.5777706856597605,Kansas City,209364969.36046773
1524,4,1.6824448110806198,1993,Suburban,2,0.9719858248143445,Los Angeles,157776112.48490277
2183,2,1.4985549988292477,1985,Rural,1,0.9128257664267626,Los Angeles,223286520.457046
2862,4,1.9981884295311372,1968,Suburban,2,0.5608007709527437,Houston,289668867.9869786
2722,4,3.8197731186571264,1955,Urban,1,0.9151116718392827,Houston,277622041.3430957
2266,1,2.029080137770073,1974,Rural,0,0.4638741922563909,Los Angeles,229366551.97161472
2109,4,3.964372227863906,1980,Suburban,2,0.3073785988209622,Kansas City,213189220.9111946
2819,4,2.4556913672960685,1958,Rural,2,0.30941035913987663,Los Angeles,284196228.6482466
1577,2,1.5374917548704525,1986,Suburban,2,0.696083971997914,Houston,161620731.74160486
1681,2,3.6734202753805283,1976,Suburban,1,0.5509632886365494,Houston,171485322.96383628
1556,1,2.3810661194044807,1962,Urban,0,0.6930557623049021,Kansas City,159598858.77047986
2597,4,3.129014030513573,1990,Suburban,2,0.7174683678359529,Los Angeles,263927017.8914683
2976,1,3.9511347496274554,2015,Suburban,1,0.12009058560794586,Los Angeles,298606788.03426176
2012,4,1.150526050959922,1973,Suburban,2,0.14863563311311212,New York,202519467.61938754
1645,3,1.2900836793627013,1993,Urban,1,0.5794099539321249,Los Angeles,167813806.0456128
1795,3,3.1613702243882686,2009,Suburban,0,0.27193192998406923,Kansas City,181316762.41674948
2051,1,1.845475009886416,1958,Suburban,1,0.6692803919239957,Houston,208979812.58536145
2643,1,1.5529041908502972,1951,Suburban,1,0.5969671652535833,New York,267831303.6405817
2579,1,1.1180856394591885,2005,Rural,2,0.6271843225338021,Kansas City,261299778.03562847
2363,2,1.0655401359586054,1979,Urban,1,0.3722098418479096,Kansas City,238580964.71943644
2821,2,3.3234568093593726,1971,Rural,2,0.675859155650107,New York,286128555.03895247
2981,2,1.40330028210865,1962,Urban,1,0.8465433728365207,Los Angeles,302862964.38534075
2354,1,2.4031618479134527,2020,Urban,0,0.9982641282330135,New York,240636557.77975857
2663,4,2.817690445538449,1965,Rural,1,0.8545999475549928,Kansas City,271294326.52119035
2529,3,2.285055401706539,1994,Urban,2,0.6017488837119527,Los Angeles,256415123.57368776
2371,1,1.0813199570086993,2014,Urban,1,0.2740866325119609,Houston,238666532.15933546
2496,2,3.3505045077637265,1960,Rural,1,0.7133012885078388,New York,253852794.28062147
2254,2,1.0315396736249605,2019,Suburban,0,0.9438884070021804,Kansas City,230316807.51053277
1189,1,3.285669683132452,1969,Urban,2,0.29067988575907217,Los Angeles,120959824.6550303
2248,1,3.679913481364368,2012,Rural,0,0.3303960584739194,Kansas City,226832973.80347192
2408,2,2.298519763171517,1961,Urban,1,0.23410768907048604,Los Angeles,242572927.4275903
2400,4,2.6066274192933947,2011,Rural,0,0.7630494792637615,Los Angeles,244270744.4527658
2306,2,2.4309501778529614,1991,Suburban,1,0.4659053530812933,New York,233391848.02874544
2981,2,2.1676258558703165,2018,Urban,1,0.1564260749977457,Houston,299189702.314179
1632,1,3.6622736061110808,2007,Suburban,0,0.8874549923412521,Los Angeles,168041945.4821646
1627,4,3.6818005320099716,1954,Suburban,0,0.60190471423231,Kansas City,166530658.6110623
1972,2,2.0074490939246035,1976,Rural,1,0.3979848628003202,Los Angeles,199695482.99604595
2768,2,2.845209262044094,1977,Urban,0,0.40958467845498725,Houston,279391314.08692825
2282,3,3.7807226864375925,1975,Urban,0,0.36122609817181606,Kansas City,230679684.69234192
2382,1,3.8861754968240545,1998,Urban,1,0.5099321551533776,Los Angeles,241236123.9380287
1709,3,2.5268771212661427,1970,Urban,2,0.4033375196393305,Los Angeles,173561203.38229162
2479,3,2.3584744158529802,1950,Urban,0,0.5931516736635485,New York,251557643.94950673
2434,2,1.8360829477855773,2007,Rural,0,0.7961655270441648,Houston,247698533.85630473
1648,1,3.87661561957123,2004,Urban,2,0.7070151550999362,Los Angeles,168810821.9469675
1317,4,1.428442913418602,1975,Suburban,0,0.3650112034787054,Houston,134072189.23589993
2700,2,2.739488728143175,1974,Suburban,1,0.5758669103858014,Los Angeles,273449796.20653975
2248,4,1.8476508025559166,1982,Urban,0,0.8561135439210257,Kansas City,229624141.5297968
2842,4,1.8370248710433899,2021,Rural,1,0.16138561126845294,Houston,285374704.9216705
2257,1,2.2149057621285655,2018,Rural,2,0.1704675402882143,Kansas City,226833455.6336007
1683,3,3.9963788074469635,1955,Urban,2,0.6005530612447781,Houston,172132493.71678242
1663,1,1.1648989205194662,1972,Suburban,2,0.6752036155508229,Kansas City,170108385.49679306
2998,4,2.7356254546105943,1979,Urban,0,0.2902717141983137,Los Angeles,301876530.4800874
2850,2,1.2477164741058315,2003,Urban,2,0.7706981140223662,Kansas City,289187069.3056697
2397,4,1.463562489971557,1960,Urban,0,0.6816370393366546,Kansas City,243732952.38343117
2695,2,2.318688825318696,1980,Rural,0,0.9309603414126578,Los Angeles,274643703.3689622
2631,2,2.531380394039324,1955,Rural,0,0.25205878167268303,Houston,264990147.43791634
2495,1,1.7763772250935719,1960,Suburban,2,0.7762368388222096,Kansas City,253919412.48599306
2256,4,1.9493713926232485,1961,Suburban,2,0.1752787815249403,New York,227172596.76207143
2715,3,1.2609010607677993,2015,Urban,0,0.6087631685661078,New York,274828383.42238814
2136,4,1.9096593515327516,2002,Suburban,2,0.5967056255492312,Kansas City,217071752.57911113
2853,4,3.8996753181416324,1985,Urban,0,0.4495465401820665,Kansas City,288230208.34977096
2520,3,3.834122145017445,1966,Suburban,2,0.8601140329017105,Kansas City,257063129.32538486
1441,1,2.004634870410955,1977,Urban,1,0.10393358030741101,Houston,145070015.51681787
1563,4,2.7125618088362846,1971,Rural,2,0.5681614617086687,Los Angeles,159844249.4442061
2291,4,3.728786173332833,1956,Urban,2,0.29543819485166867,New York,231431849.9372583
2533,2,1.01855146792269,1964,Rural,2,0.7691487572047896,New York,257657135.14611813
2830,4,3.4320507110127756,1960,Rural,0,0.13876068367548747,Houston,284466207.2217034
2409,3,3.845108658366757,1973,Suburban,0,0.8483992193634199,Kansas City,245830379.2461946
2410,2,1.2739772030006713,2016,Suburban,1,0.8542830040362563,Kansas City,245521963.31040633
2136,1,1.484343058098763,1979,Rural,1,0.8495794111631526,Los Angeles,218249222.78517318
2636,2,3.8822389083140663,2019,Urban,1,0.23731167405940287,Los Angeles,265217726.28842056
2648,3,2.612620430921039,2015,Urban,0,0.6673658667049404,New York,268522775.8658438
1951,3,1.042589903415171,2010,Suburban,1,0.11293062326505066,Los Angeles,195977847.3590814
2104,2,1.7728959962905875,1990,Urban,1,0.8631663321602798,New York,215133798.8605232
1698,1,2.349831022806579,2000,Urban,2,0.7506776741577584,Houston,173934625.69749928
1112,2,3.078726733074303,1993,Urban,1,0.5780383578093274,Kansas City,114591096.29402721
1001,1,3.199481134410399,1962,Rural,2,0.7575322897869554,Kansas City,104522622.53401555
1641,2,3.986264538776368,1961,Rural,0,0.184891686986595,New York,165733428.2753412
1219,3,1.862533598151277,1958,Urban,0,0.5757902489591706,Kansas City,125393641.2646572
2589,4,2.6146603056054256,1997,Suburban,2,0.36214884263480096,Houston,261276843.73609442
1854,4,2.599970643578815,1998,Urban,1,0.9753575169006757,Los Angeles,190816785.3827718
2759,1,2.2169357783417123,2002,Suburban,0,0.8714061555615116,Houston,280578300.9611832
2248,1,1.5074856815272606,2005,Rural,2,0.7599481262505792,Kansas City,228892802.05736744
1384,1,3.9323696895515274,1989,Urban,0,0.9403728717247587,Houston,143616792.08534017
2426,3,3.5599515599997584,1973,Urban,0,0.41215897410892643,Kansas City,245327791.23754463
2661,2,2.4949990848827115,2021,Suburban,1,0.9107919090893631,New York,270971084.476813
2153,3,2.8097362680520894,1982,Suburban,0,0.39271440889603926,Los Angeles,217829302.26458412
2076,4,1.6817831606789868,1972,Urban,2,0.7595170477220377,Los Angeles,212018718.9756611
2707,1,2.631361211175241,2003,Urban,1,0.7627752205988042,Kansas City,274881228.19383216
1729,2,3.0849103993644276,2002,Suburban,2,0.11651488880868413,Kansas City,173958942.72399575
2695,4,2.545501085159766,1998,Rural,2,0.4249537284503757,Los Angeles,272180681.22363883
2733,4,3.9708555117548237,1998,Suburban,2,0.11748940516764811,Houston,274550261.1892199
2439,4,2.8340249687431784,2009,Urban,1,0.9973828158492237,Houston,249389465.95190185
1246,3,2.112921137776507,2014,Rural,0,0.2099770856463142,Houston,126003354.51356481
1835,1,3.3164560828475143,1981,Rural,2,0.5885298060832984,Los Angeles,186991383.23663005
2462,4,1.5113875347449262,1970,Rural,0,0.8115006148863735,New York,250835857.13953772
