Square Feet,Year Built,Garage Spaces,Lot Size,,City,Neighborhood,Number of Bedrooms,Number of Bathrooms,,Price
2082,1976,0,0.712998549,,Houston,Rural,4,2.712721161,,212403446.8
1510,2001,0,0.301395312,,New York,Urban,2,1.997280077,,152866772.6
2705,2012,0,0.58161718,,Houston,Rural,2,1.946599542,,273709080.9
2499,2012,0,0.606270559,,New York,Suburban,2,1.319870857,,253185343.1
1699,1966,0,0.730116606,,New York,Suburban,4,2.100394962,,174193112.7
1975,1998,2,0.997139305,,New York,Urban,4,1.298484007,,202948082.8
2806,1972,1,0.13027944,,Kansas City,Rural,2,3.299787834,,281873881.3
1189,2021,2,0.158709395,,Kansas City,Suburban,4,3.898822893,,120235958.7
1957,1962,0,0.170155062,,Los Angeles,Urban,4,3.91022337,,197349042.1
1686,1972,0,0.768681221,,Kansas City,Urban,4,3.595213298,,173168047.1
1957,2006,2,0.222718416,,Los Angeles,Urban,2,2.802376448,,197248770.3
1562,2011,2,0.660206687,,Houston,Suburban,2,3.102597092,,159933728.2
2899,2003,1,0.39220199,,New York,Rural,2,1.855617408,,292220181.3
2590,1969,0,0.511587961,,Kansas City,Suburban,4,2.892311261,,262244863.1
2267,2001,2,0.294096844,,New York,Suburban,2,2.366948648,,228598005.4
1831,1972,1,0.879495905,,Los Angeles,Rural,4,2.446052019,,188155933.4
2528,1984,0,0.627535292,,Kansas City,Urban,1,3.273329681,,256428176.2
2154,2016,0,0.950106937,,Kansas City,Suburban,4,1.845755067,,220523966.3
2508,1983,0,0.617136625,,Kansas City,Urban,3,1.954118835,,254382242
2842,1982,2,0.211517228,,Kansas City,Urban,2,3.773925373,,285885630.5
1646,1995,0,0.25378339,,New York,Rural,2,1.168672885,,166196567.4
1020,1994,0,0.990166579,,Kansas City,Rural,3,2.456902895,,107430100.6
1840,1968,1,0.753008678,,Los Angeles,Rural,4,3.738402401,,188540423.6
1166,1964,2,0.144350875,,Kansas City,Urban,1,2.831089023,,117919086.1
2297,2015,1,0.733402905,,Los Angeles,Urban,3,2.639221223,,233774956.1
1387,1988,2,0.470955742,,Los Angeles,Suburban,3,1.749232538,,141550971.2
1600,1967,0,0.376487548,,New York,Urban,4,2.029826467,,162514674.7
1315,2019,1,0.238654714,,Kansas City,Rural,2,3.556145247,,133099984.5
1013,2008,2,0.855913559,,Los Angeles,Rural,4,2.677654395,,106095391.9
1241,1981,2,0.157457241,,Kansas City,Rural,3,2.544226581,,125478103.2
1776,1970,0,0.360851916,,New York,Rural,3,1.298739141,,179916665
2369,1989,0,0.375744604,,New York,Urban,2,1.048084469,,239127329.4
1564,1976,1,0.244814756,,Kansas City,Rural,2,3.891055566,,158270902.9
1897,1951,1,0.557366395,,Los Angeles,Suburban,2,2.130958502,,193126653.9
2363,1988,2,0.110532364,,Houston,Urban,4,2.809639186,,237478384.8
1091,2005,1,0.370877964,,Houston,Rural,2,1.23914522,,111257325.7
2390,1962,0,0.9402665,,New York,Suburban,3,3.049342857,,244385033.2
1955,2005,1,0.379476612,,Los Angeles,Rural,3,3.797700126,,197942210.6
2478,2015,1,0.424413448,,Houston,Urban,1,2.726995759,,250236591.9
2451,2005,2,0.525848543,,Los Angeles,Urban,4,1.378345967,,248162618.7
1508,1977,0,0.605524037,,Kansas City,Suburban,1,2.745164582,,154313507.5
1775,2013,2,0.82783778,,New York,Urban,3,3.299041639,,182126617
2966,2020,0,0.271289101,,Kansas City,Suburban,1,2.21924961,,298187889.2
1034,2013,0,0.884571739,,Kansas City,Rural,3,3.639513244,,108295822.2
1205,2005,2,0.781794421,,Kansas City,Urban,1,2.94604886,,124809925.8
2104,1990,1,0.750385301,,Los Angeles,Rural,2,3.697746755,,214714257.5
2955,1990,2,0.178124116,,Houston,Rural,1,2.870515934,,296860909.3
2585,1953,1,0.119476621,,Kansas City,Urban,2,1.393863916,,259671922.9
2895,2006,2,0.634611431,,New York,Rural,2,1.929075133,,293042737.8
2411,1979,2,0.876820566,,Los Angeles,Suburban,4,1.605384845,,246064506.7
2025,1995,1,0.625997318,,Houston,Suburban,2,3.726479493,,206169472.6
2021,2005,1,0.291911379,,Kansas City,Suburban,2,3.281200202,,204015646.9
2413,1980,1,0.181467908,,New York,Urban,1,3.029195107,,242719529.2
1565,1956,2,0.729636808,,Kansas City,Rural,3,1.902898959,,160815901.5
2129,2003,1,0.74959325,,Houston,Rural,4,1.552134316,,217084376.3
2795,1957,1,0.255278531,,Houston,Rural,2,3.269353264,,281471594.1
2845,2004,1,0.125371284,,Kansas City,Rural,4,2.422473838,,285623542
2500,2018,0,0.467455162,,Kansas City,Suburban,1,1.677368656,,252538078.5
1702,1993,1,0.624446832,,Los Angeles,Urban,2,2.849865934,,173805974.1
1401,1962,1,0.735402169,,Houston,Suburban,1,1.121001556,,144236086
1729,1969,1,0.828950508,,Houston,Suburban,4,1.978510762,,177683140.8
2579,1981,0,0.649483685,,Kansas City,Urban,1,2.405670984,,261587843.7
1161,2009,0,0.199792548,,New York,Urban,4,1.443875002,,117477253.4
1201,1999,1,0.714323505,,Kansas City,Suburban,1,3.953963433,,124158164.8
2981,1976,1,0.985758979,,Kansas City,Rural,4,1.627292094,,303605841.8
1995,1974,1,0.915026126,,Houston,Urban,3,1.39105939,,204594460.1
1269,2001,1,0.884502018,,Los Angeles,Urban,1,1.610604622,,131623305.4
2886,2017,0,0.371953138,,Kansas City,Suburban,1,3.307183399,,290787804.4
1815,1970,1,0.775709359,,New York,Rural,3,2.276516978,,185984285.6
2294,1967,0,0.865993101,,New York,Urban,3,2.696247819,,234362184.1
1455,1988,2,0.710493584,,Kansas City,Suburban,1,1.063027471,,149397195
2485,1964,0,0.325505581,,New York,Urban,3,1.103293926,,250655274.9
2750,2002,2,0.958450575,,New York,Rural,2,2.337476649,,280212563.6
2275,1987,0,0.50573747,,Kansas City,Suburban,4,3.44996573,,230667434.8
2016,1997,0,0.216825003,,New York,Suburban,4,3.655716636,,203288303.8
2725,2001,0,0.198800106,,New York,Rural,4,1.260119703,,273898509.5
1295,2021,1,0.682767089,,Kansas City,Suburban,2,2.615089306,,133239967.1
2748,1977,0,0.493938682,,Houston,Rural,3,3.739689059,,277930170.1
1719,1965,1,0.185035488,,Los Angeles,Suburban,3,2.163918263,,173447471.3
2772,1965,0,0.766328115,,Los Angeles,Rural,1,3.488697494,,281633292.9
1337,1984,0,0.819392651,,Houston,Urban,3,1.401086963,,138247044.8
1878,1966,2,0.752874068,,Kansas City,Urban,1,3.806183469,,192224834.1
2076,2022,0,0.28203479,,Houston,Urban,2,3.254269953,,209359244.2
1791,2001,1,0.72079791,,Los Angeles,Suburban,4,3.824003178,,183320789.8
2945,1961,2,0.109650523,,Los Angeles,Rural,4,3.029851701,,295825491.5
1216,1997,2,0.374600926,,Los Angeles,Rural,4,2.090211796,,123999770.5
1763,1971,0,0.458939378,,Los Angeles,Urban,3,3.814543518,,179290787.7
1187,1998,0,0.851722254,,Kansas City,Urban,1,1.826700329,,123270613.8
1379,2001,2,0.451354936,,Los Angeles,Urban,1,1.996517566,,140506513.5
1492,1950,1,0.110142502,,Los Angeles,Rural,2,3.102425254,,150468394.4
2064,2015,0,0.417111771,,Kansas City,Urban,3,3.295948899,,208922755
2180,2013,2,0.549031689,,Houston,Suburban,2,3.788210452,,221219274.2
1014,1957,1,0.954104308,,Kansas City,Urban,1,1.614407227,,106691602.1
2836,1974,0,0.946930873,,Los Angeles,Urban,1,3.393994106,,288884203.9
1064,2015,2,0.262786634,,New York,Rural,4,3.21563816,,108235106
2880,2022,2,0.266631888,,Kansas City,Suburban,3,1.191383669,,289617513.2
2862,2022,0,0.247043311,,Kansas City,Rural,1,2.161669424,,287652341.8
1520,2019,1,0.810029739,,Houston,Suburban,4,1.848296371,,156428770.9
2367,2000,1,0.105419836,,Los Angeles,Suburban,3,1.913471273,,237655609.5
2152,2002,2,0.214459478,,New York,Urban,2,3.948840639,,216813460.4
1647,1964,1,0.584163668,,Kansas City,Urban,3,2.92833224,,168305443.3
2495,1999,2,0.32280586,,Kansas City,Rural,3,3.153028473,,251660506.4
2086,2020,0,0.183120812,,Kansas City,Rural,1,3.929852912,,209875343
2162,1987,1,0.423890211,,New York,Rural,1,2.131605347,,218729321.5
2522,1989,0,0.346786845,,Kansas City,Suburban,3,3.405520505,,254509348.3
1592,2015,2,0.559993876,,Kansas City,Rural,1,2.30359289,,162302738.8
1391,1988,0,0.981310234,,New York,Suburban,1,3.608601015,,144502196.2
2698,1966,1,0.211874173,,Kansas City,Suburban,1,1.541972624,,271330018.8
1418,1956,0,0.435454034,,New York,Suburban,4,3.843058531,,144800499.6
1288,1988,1,0.938786516,,Houston,Suburban,4,1.656315125,,134013156.2
1378,2017,1,0.889185739,,New York,Suburban,3,1.978661521,,142594328.3
2796,1984,1,0.454843931,,Houston,Urban,1,3.268576702,,282384362.9
2513,2000,1,0.729057938,,New York,Suburban,4,2.181265425,,255443884.6
1230,1996,1,0.179071312,,Los Angeles,Suburban,3,2.82463413,,124412204.1
2017,1985,2,0.74128695,,Kansas City,Urban,1,2.333720503,,205861463.8
1040,2013,0,0.975571957,,Houston,Urban,2,3.227109811,,109269893
2051,1962,2,0.583739338,,Kansas City,Urban,1,1.684993757,,208540071.2
1134,1967,0,0.548641204,,Kansas City,Rural,1,1.175373962,,116561359.1
1200,1970,0,0.268586758,,New York,Rural,4,1.899788192,,121950417.9
2863,2014,0,0.670409379,,Los Angeles,Suburban,3,2.422925995,,290028766.3
1779,1957,2,0.631393553,,New York,Suburban,3,1.504060157,,181689772.3
1929,1997,1,0.686739754,,Kansas City,Suburban,4,2.064391869,,196838528.2
2056,1992,1,0.123474958,,New York,Suburban,1,2.199949055,,206607371
2071,2002,2,0.59385114,,Houston,Urban,2,1.172175531,,210402168.9
1502,1976,1,0.635441359,,Los Angeles,Rural,1,2.749921745,,153888450.9
1406,1968,0,0.286777122,,Kansas City,Urban,1,3.653030284,,142632862.9
2597,1972,1,0.287499572,,New York,Rural,2,1.455228739,,261621640
2751,1999,1,0.348596352,,Houston,Urban,4,2.79342404,,277392488.6
1804,2000,1,0.740549433,,Los Angeles,Suburban,3,2.994217615,,184612313.5
1098,1992,0,0.645639457,,New York,Rural,4,2.258004041,,113552547.6
1683,2000,1,0.861186382,,New York,Suburban,4,3.103292762,,173173678.9
2895,2018,1,0.366092715,,Kansas City,Rural,1,2.23219463,,291592878.2
1725,1990,1,0.920861254,,Houston,Rural,3,2.513911864,,177627849.7
2570,2021,2,0.769335546,,Los Angeles,Suburban,3,1.022059134,,261123332.2
1960,1960,2,0.455510503,,New York,Suburban,4,3.075160342,,199063189.5
2762,2001,1,0.185735859,,Los Angeles,Suburban,2,2.984028037,,277582481.4
1612,1972,2,0.331285296,,Houston,Urban,4,1.115202632,,163435066.7
2966,1998,2,0.961091395,,Kansas City,Rural,2,2.104750322,,301828313.3
2485,1987,0,0.379327038,,Kansas City,Rural,3,3.937095522,,251021917.4
1642,1996,2,0.396910864,,Kansas City,Rural,4,2.262209688,,166729220
2792,2021,2,0.270630038,,Los Angeles,Suburban,1,2.505836215,,280841087.9
2028,1956,1,0.826165541,,Los Angeles,Rural,4,3.729790474,,207765562
2241,2015,0,0.348079807,,New York,Rural,3,3.151785628,,226266783
1502,2011,0,0.397232424,,Houston,Suburban,1,2.746210393,,152502127.9
1766,1978,0,0.472913298,,Houston,Suburban,1,3.393414044,,179494072.5
1397,1987,2,0.490355452,,Houston,Rural,2,3.593098799,,142741259.7
1870,1982,1,0.470206711,,Los Angeles,Urban,1,2.370664215,,189803833.4
1794,1978,0,0.553369326,,Kansas City,Suburban,1,2.425325095,,182623746
1392,1972,0,0.833061592,,Houston,Urban,4,2.158152807,,143982169.4
1206,1952,2,0.837356537,,New York,Urban,3,3.90011842,,125624291.6
2038,1994,0,0.81848182,,Los Angeles,Urban,2,3.091498763,,208369271.5
2881,1957,1,0.191012355,,Kansas City,Urban,4,1.249669199,,289698787
2577,1978,0,0.819710923,,Houston,Suburban,1,3.58887887,,262342720.5
1891,1951,1,0.208226596,,Kansas City,Rural,1,2.441679823,,190754259
2484,1999,1,0.212251393,,New York,Rural,2,1.206261719,,249791726.6
2714,2014,1,0.953076494,,Houston,Suburban,3,2.649151765,,276579068.9
2598,1969,2,0.83745806,,Houston,Suburban,2,2.251492837,,264566152.3
1863,2001,2,0.59716942,,Kansas City,Urban,4,3.633248215,,189908340.7
1742,1986,1,0.887473184,,Los Angeles,Urban,2,1.611983811,,179063264.7
2264,2021,1,0.990428178,,Kansas City,Suburban,1,3.479393828,,231693095.4
1563,1976,0,0.64957786,,New York,Rural,4,2.673066074,,160183369.3
2020,1996,0,0.651608593,,Kansas City,Urban,1,1.16383091,,205530330.3
1095,1955,0,0.778984326,,Kansas City,Suburban,3,3.915535904,,114178586.8
2923,2009,2,0.308925057,,Houston,Suburban,1,2.537845732,,294194963.7
2757,1994,0,0.250412375,,Los Angeles,Suburban,1,1.872630563,,277287509.2
1484,1993,1,0.783622675,,Los Angeles,Urban,2,2.408220526,,152768729.9
2430,1967,1,0.410414315,,Los Angeles,Suburban,1,3.573573351,,245670089.6
1230,2014,2,0.221563321,,Los Angeles,Rural,4,1.914709373,,124536419.8
1748,1974,2,0.383389953,,Kansas City,Suburban,4,1.578029189,,177320302
2678,1976,0,0.422773181,,Houston,Urban,3,1.387213741,,270402906.9
2194,1956,2,0.968704894,,Houston,Rural,4,1.893578195,,224960542.8
1540,1993,1,0.72816374,,Los Angeles,Rural,2,3.340144261,,158161329.5
2059,1978,1,0.577770686,,Kansas City,Suburban,3,2.414879096,,209364969.4
1524,1993,2,0.971985825,,Los Angeles,Suburban,4,1.682444811,,157776112.5
2183,1985,1,0.912825766,,Los Angeles,Rural,2,1.498554999,,223286520.5
2862,1968,2,0.560800771,,Houston,Suburban,4,1.99818843,,289668868
2722,1955,1,0.915111672,,Houston,Urban,4,3.819773119,,277622041.3
2266,1974,0,0.463874192,,Los Angeles,Rural,1,2.029080138,,229366552
2109,1980,2,0.307378599,,Kansas City,Suburban,4,3.964372228,,213189220.9
2819,1958,2,0.309410359,,Los Angeles,Rural,4,2.455691367,,284196228.6
1577,1986,2,0.696083972,,Houston,Suburban,2,1.537491755,,161620731.7
1681,1976,1,0.550963289,,Houston,Suburban,2,3.673420275,,171485323
1556,1962,0,0.693055762,,Kansas City,Urban,1,2.381066119,,159598858.8
2597,1990,2,0.717468368,,Los Angeles,Suburban,4,3.129014031,,263927017.9
2976,2015,1,0.120090586,,Los Angeles,Suburban,1,3.95113475,,298606788
2012,1973,2,0.148635633,,New York,Suburban,4,1.150526051,,202519467.6
1645,1993,1,0.579409954,,Los Angeles,Urban,3,1.290083679,,167813806
1795,2009,0,0.27193193,,Kansas City,Suburban,3,3.161370224,,181316762.4
2051,1958,1,0.669280392,,Houston,Suburban,1,1.84547501,,208979812.6
2643,1951,1,0.596967165,,New York,Suburban,1,1.552904191,,267831303.6
2579,2005,2,0.627184323,,Kansas City,Rural,1,1.118085639,,261299778
2363,1979,1,0.372209842,,Kansas City,Urban,2,1.065540136,,238580964.7
2821,1971,2,0.675859156,,New York,Rural,2,3.323456809,,286128555
2981,1962,1,0.846543373,,Los Angeles,Urban,2,1.403300282,,302862964.4
2354,2020,0,0.998264128,,New York,Urban,1,2.403161848,,240636557.8
2663,1965,1,0.854599948,,Kansas City,Rural,4,2.817690446,,271294326.5
2529,1994,2,0.601748884,,Los Angeles,Urban,3,2.285055402,,256415123.6
2371,2014,1,0.274086633,,Houston,Urban,1,1.081319957,,238666532.2
2496,1960,1,0.713301289,,New York,Rural,2,3.350504508,,253852794.3
2254,2019,0,0.943888407,,Kansas City,Suburban,2,1.031539674,,230316807.5
1189,1969,2,0.290679886,,Los Angeles,Urban,1,3.285669683,,120959824.7
2248,2012,0,0.330396058,,Kansas City,Rural,1,3.679913481,,226832973.8
2408,1961,1,0.234107689,,Los Angeles,Urban,2,2.298519763,,242572927.4
2400,2011,0,0.763049479,,Los Angeles,Rural,4,2.606627419,,244270744.5
2306,1991,1,0.465905353,,New York,Suburban,2,2.430950178,,233391848
2981,2018,1,0.156426075,,Houston,Urban,2,2.167625856,,299189702.3
1632,2007,0,0.887454992,,Los Angeles,Suburban,1,3.662273606,,168041945.5
1627,1954,0,0.601904714,,Kansas City,Suburban,4,3.681800532,,166530658.6
1972,1976,1,0.397984863,,Los Angeles,Rural,2,2.007449094,,199695483
2768,1977,0,0.409584678,,Houston,Urban,2,2.845209262,,279391314.1
2282,1975,0,0.361226098,,Kansas City,Urban,3,3.780722686,,230679684.7
2382,1998,1,0.509932155,,Los Angeles,Urban,1,3.886175497,,241236123.9
1709,1970,2,0.40333752,,Los Angeles,Urban,3,2.526877121,,173561203.4
2479,1950,0,0.593151674,,New York,Urban,3,2.358474416,,251557643.9
2434,2007,0,0.796165527,,Houston,Rural,2,1.836082948,,247698533.9
1648,2004,2,0.707015155,,Los Angeles,Urban,1,3.87661562,,168810821.9
1317,1975,0,0.365011203,,Houston,Suburban,4,1.428442913,,134072189.2
2700,1974,1,0.57586691,,Los Angeles,Suburban,2,2.739488728,,273449796.2
2248,1982,0,0.856113544,,Kansas City,Urban,4,1.847650803,,229624141.5
2842,2021,1,0.161385611,,Houston,Rural,4,1.837024871,,285374704.9
2257,2018,2,0.17046754,,Kansas City,Rural,1,2.214905762,,226833455.6
1683,1955,2,0.600553061,,Houston,Urban,3,3.996378807,,172132493.7
1663,1972,2,0.675203616,,Kansas City,Suburban,1,1.164898921,,170108385.5
2998,1979,0,0.290271714,,Los Angeles,Urban,4,2.735625455,,301876530.5
2850,2003,2,0.770698114,,Kansas City,Urban,2,1.247716474,,289187069.3
2397,1960,0,0.681637039,,Kansas City,Urban,4,1.46356249,,243732952.4
2695,1980,0,0.930960341,,Los Angeles,Rural,2,2.318688825,,274643703.4
2631,1955,0,0.252058782,,Houston,Rural,2,2.531380394,,264990147.4
2495,1960,2,0.776236839,,Kansas City,Suburban,1,1.776377225,,253919412.5
2256,1961,2,0.175278782,,New York,Suburban,4,1.949371393,,227172596.8
2715,2015,0,0.608763169,,New York,Urban,3,1.260901061,,274828383.4
2136,2002,2,0.596705626,,Kansas City,Suburban,4,1.909659352,,217071752.6
2853,1985,0,0.44954654,,Kansas City,Urban,4,3.899675318,,288230208.3
2520,1966,2,0.860114033,,Kansas City,Suburban,3,3.834122145,,257063129.3
1441,1977,1,0.10393358,,Houston,Urban,1,2.00463487,,145070015.5
1563,1971,2,0.568161462,,Los Angeles,Rural,4,2.712561809,,159844249.4
2291,1956,2,0.295438195,,New York,Urban,4,3.728786173,,231431849.9
2533,1964,2,0.769148757,,New York,Rural,2,1.018551468,,257657135.1
2830,1960,0,0.138760684,,Houston,Rural,4,3.432050711,,284466207.2
2409,1973,0,0.848399219,,Kansas City,Suburban,3,3.845108658,,245830379.2
2410,2016,1,0.854283004,,Kansas City,Suburban,2,1.273977203,,245521963.3
2136,1979,1,0.849579411,,Los Angeles,Rural,1,1.484343058,,218249222.8
2636,2019,1,0.237311674,,Los Angeles,Urban,2,3.882238908,,265217726.3
2648,2015,0,0.667365867,,New York,Urban,3,2.612620431,,268522775.9
1951,2010,1,0.112930623,,Los Angeles,Suburban,3,1.042589903,,195977847.4
2104,1990,1,0.863166332,,New York,Urban,2,1.772895996,,215133798.9
1698,2000,2,0.750677674,,Houston,Urban,1,2.349831023,,173934625.7
1112,1993,1,0.578038358,,Kansas City,Urban,2,3.078726733,,114591096.3
1001,1962,2,0.75753229,,Kansas City,Rural,1,3.199481134,,104522622.5
1641,1961,0,0.184891687,,New York,Rural,2,3.986264539,,165733428.3
1219,1958,0,0.575790249,,Kansas City,Urban,3,1.862533598,,125393641.3
2589,1997,2,0.362148843,,Houston,Suburban,4,2.614660306,,261276843.7
1854,1998,1,0.975357517,,Los Angeles,Urban,4,2.599970644,,190816785.4
2759,2002,0,0.871406156,,Houston,Suburban,1,2.216935778,,280578301
2248,2005,2,0.759948126,,Kansas City,Rural,1,1.507485682,,228892802.1
1384,1989,0,0.940372872,,Houston,Urban,1,3.93236969,,143616792.1
2426,1973,0,0.412158974,,Kansas City,Urban,3,3.55995156,,245327791.2
2661,2021,1,0.910791909,,New York,Suburban,2,2.494999085,,270971084.5
2153,1982,0,0.392714409,,Los Angeles,Suburban,3,2.809736268,,217829302.3
2076,1972,2,0.759517048,,Los Angeles,Urban,4,1.681783161,,212018719
2707,2003,1,0.762775221,,Kansas City,Urban,1,2.631361211,,274881228.2
1729,2002,2,0.116514889,,Kansas City,Suburban,2,3.084910399,,173958942.7
2695,1998,2,0.424953728,,Los Angeles,Rural,4,2.545501085,,272180681.2
2733,1998,2,0.117489405,,Houston,Suburban,4,3.970855512,,274550261.2
2439,2009,1,0.997382816,,Houston,Urban,4,2.834024969,,249389466
1246,2014,0,0.209977086,,Houston,Rural,3,2.112921138,,126003354.5
1835,1981,2,0.588529806,,Los Angeles,Rural,1,3.316456083,,186991383.2
2462,1970,0,0.811500615,,New York,Rural,4,1.511387535,,250835857.1
1202,1967,0,0.281137242,,Kansas City,Rural,1,2.153547441,,122097202.3
2207,2009,2,0.536547401,,Kansas City,Urban,3,2.040876851,,223795802.8
1122,1962,0,0.646685885,,Los Angeles,Rural,4,2.295421285,,116110586
1400,1973,1,0.244184279,,New York,Suburban,3,3.345339478,,141891821.9
1766,1979,1,0.800699914,,Los Angeles,Suburban,3,2.452519096,,181177438.5
1293,1951,0,0.369402811,,Houston,Suburban,1,3.382043351,,131810667.3
1279,1974,0,0.289920769,,Houston,Urban,4,2.729466709,,129999313.8
2860,1999,1,0.602459872,,Kansas City,Rural,3,2.026208304,,289454265
1883,1963,0,0.469282265,,Kansas City,Suburban,4,3.429936231,,191403656.5
2633,1955,0,0.92825735,,Kansas City,Suburban,1,1.714869012,,268459901.9
1197,1979,0,0.892056428,,Kansas City,Suburban,3,1.673148939,,124655768.3
1981,1979,0,0.535015597,,Houston,Rural,1,2.513508772,,201233591.1
2930,1987,2,0.423337397,,Houston,Suburban,4,1.782547738,,295670378.1
2534,2007,0,0.392966183,,New York,Rural,4,1.027261105,,255721875.5
1751,1990,1,0.340807261,,Kansas City,Rural,1,2.944892582,,177259903.2
1143,2006,2,0.590093068,,Los Angeles,Rural,2,2.533281464,,117665461.5
1608,1985,2,0.824480744,,New York,Urban,3,2.336553443,,165477645.2
2224,2013,1,0.379680947,,New York,Urban,4,3.900905544,,224860972.7
2147,1965,0,0.271084681,,Houston,Rural,4,2.713597552,,216748943.2
1186,2021,2,0.527935426,,Kansas City,Rural,3,3.590294733,,121708949.2
2349,1963,2,0.162130975,,New York,Urban,1,1.418350709,,236207031.2
1463,1980,0,0.731151106,,Kansas City,Urban,1,2.707619389,,150423827
2372,2015,0,0.56652244,,Houston,Rural,1,3.60393888,,240392907.6
2794,2017,1,0.546737327,,New York,Urban,2,2.749317272,,282489885.4
1659,2014,2,0.370400842,,New York,Suburban,2,3.154042534,,168173557.4
1763,2004,0,0.914206094,,Los Angeles,Rural,4,2.116130703,,181324740.3
1954,1989,0,0.181437663,,Houston,Rural,1,1.277348551,,196622989.5
2955,1974,1,0.882841608,,Los Angeles,Urban,3,2.373700885,,300507235.6
1402,1974,2,0.439034682,,Houston,Suburban,4,2.183438173,,143043931.3
2369,1952,0,0.892561164,,Los Angeles,Urban,3,3.601180547,,242137894.4
2986,2018,1,0.755885312,,Houston,Suburban,4,1.731985907,,302754325.5
2534,1975,2,0.193753654,,Houston,Suburban,2,3.900202683,,255041283.5
1146,1989,2,0.848382658,,New York,Rural,4,3.874414359,,119542494.4
2171,1987,2,0.71395915,,Los Angeles,Suburban,2,1.742894929,,221120512.9
1863,1987,2,0.129071722,,Los Angeles,Rural,4,2.044155866,,187518670.3
2734,2017,1,0.220332414,,Los Angeles,Suburban,1,3.686667223,,274878162.1
2843,1956,0,0.67206525,,New York,Rural,3,3.899866663,,288437816.3
1488,1979,2,0.696340453,,Kansas City,Suburban,1,2.330317309,,152766476.1
1928,1968,2,0.77198629,,Houston,Urban,4,1.962991137,,197322155.8
2959,1984,0,0.748220861,,Los Angeles,Suburban,4,2.57828204,,300229475.5
2663,1982,2,0.693567959,,Houston,Urban,4,3.063307619,,270442587.9
1550,1982,2,0.789615012,,New York,Suburban,2,1.820423546,,159429606.8
1337,1987,0,0.617577135,,Houston,Suburban,3,3.209419524,,137358592.1
1871,1959,0,0.334712247,,New York,Rural,3,1.154972071,,189330184.1
1640,2006,2,0.921138952,,Kansas City,Suburban,4,1.147883478,,169016786
